,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
dhaka,0.3,0.7,1.8,5.5,10.5,12.9,12.3,10.9,9.0,6.1,1.0,0.7
chittagong,0.3,0.6,1.4,3.9,9.9,19.0,23.2,17.6,13.0,7.7,1.8,0.6
sylhet,0.4,1.1,3.4,12.4,17.9,25.3,21.9,19.0,14.3,8.1,0.8,0.7
rajshahi,0.2,0.5,0.8,2.6,5.5,7.5,8.8,7.7,7.6,4.5,0.3,0.3
khulna,0.3,0.8,1.1,2.5,6.6,9.5,11.6,10.4,8.5,5.8,1.0,0.6
barisal,0.3,0.8,1.5,3.6,9.0,16.5,20.9,16.6,12.3,8.6,2.2,0.7
rangpur,0.2,0.5,1.0,4.1,8.3,12.0,11.8,10.5,10.4,5.7,0.2,0.2
mymensingh,0.4,0.8,2.1,6.9,12.2,15.6,14.1,12.4,10.4,6.7,0.8,0.6
